2016-04-12 12:38:44,249 [Worker-25] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/danila/DDS-UTN/2016-jm-group-08/TPPOI/src/main/resources
2016-04-12 12:38:44,261 [Worker-25] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-12 12:38:44,261 [Worker-25] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/danila/DDS-UTN/2016-jm-group-08/TPPOI/src/test/resources
2016-04-12 12:38:59,748 [Worker-25] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-12 12:38:59,748 [Worker-25] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/danila/DDS-UTN/2016-jm-group-08/TPPOI/src/main/resources
2016-04-12 12:38:59,749 [Worker-25] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-12 12:38:59,759 [Worker-25] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/danila/DDS-UTN/2016-jm-group-08/TPPOI/src/test/resources
2016-04-12 13:35:36,356 [Worker-34] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-12 13:35:36,366 [Worker-34] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/danila/DDS-UTN/2016-jm-group-08/TPPOI/src/main/resources
2016-04-12 13:35:36,371 [Worker-34] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-12 13:35:36,385 [Worker-34] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/danila/DDS-UTN/2016-jm-group-08/TPPOI/src/test/resources
2016-04-13 07:59:10,710 [main] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache file is not out-of-date. No remote download required.
2016-04-13 07:59:26,805 [Worker-2] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: ar.edu.TPPOI:TPPOI:1.0-SNAPSHOT @ /home/danila/DDS-UTN/2016-jm-group-08/TPPOI/pom.xml.
2016-04-13 07:59:30,417 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-13 07:59:30,431 [Worker-14] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/danila/DDS-UTN/2016-jm-group-08/TPPOI/src/main/resources
2016-04-13 07:59:30,446 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-13 07:59:30,447 [Worker-14] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/danila/DDS-UTN/2016-jm-group-08/TPPOI/src/test/resources
2016-04-13 12:02:11,670 [Worker-57] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-13 12:02:11,683 [Worker-57] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/danila/DDS-UTN/2016-jm-group-08/TPPOI/src/main/resources
2016-04-13 12:02:11,689 [Worker-57] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-13 12:02:11,690 [Worker-57] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/danila/DDS-UTN/2016-jm-group-08/TPPOI/src/test/resources
2016-04-13 13:35:49,397 [Worker-67] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-13 13:35:49,400 [Worker-67] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/danila/DDS-UTN/2016-jm-group-08/TPPOI/src/main/resources
2016-04-13 13:35:49,401 [Worker-67] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-13 13:35:49,410 [Worker-67] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/danila/DDS-UTN/2016-jm-group-08/TPPOI/src/test/resources
2016-04-13 13:38:02,932 [Worker-66] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-13 13:38:02,933 [Worker-66] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/danila/DDS-UTN/2016-jm-group-08/TPPOI/src/main/resources
2016-04-13 13:38:02,937 [Worker-66] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-13 13:38:02,938 [Worker-66] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/danila/DDS-UTN/2016-jm-group-08/TPPOI/src/test/resources
